                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83418,                 0.4944,                0.98262,                0.93566,                0.86955,                0.93553,                 0.7227,                  0.939,                0.53882,                 1.0253,             0.00032343,             0.00032343,             0.00032343
                     36,                0.82879,                0.48097,                0.98222,                0.94909,                 0.8523,                0.92986,                0.71296,                0.95161,                0.55844,                 1.0347,             0.00032067,             0.00032067,             0.00032067
                     37,                0.82526,                0.48066,                0.98048,                0.92535,                0.87293,                0.93122,                0.71439,                0.94375,                0.53695,                 1.0289,             0.00031792,             0.00031792,             0.00031792
                     38,                0.82227,                0.48045,                0.97465,                0.93198,                0.84463,                0.92501,                 0.7121,                0.93802,                 0.5403,                 1.0276,             0.00031517,             0.00031517,             0.00031517
                     39,                0.81414,                0.47483,                0.97159,                0.94958,                0.84737,                0.92736,                0.71889,                 0.9391,                0.53479,                 1.0247,             0.00031242,             0.00031242,             0.00031242
                     40,                0.81888,                0.46703,                0.96749,                  0.924,                0.85923,                0.93106,                0.71527,                0.93979,                0.53912,                 1.0312,             0.00030966,             0.00030966,             0.00030966
                     41,                0.79324,                0.45498,                0.96352,                0.93818,                0.86655,                0.93702,                 0.7248,                0.91957,                0.52085,                 1.0192,             0.00030691,             0.00030691,             0.00030691
                     42,                0.80938,                0.46549,                0.96489,                0.92353,                 0.8687,                0.93625,                0.72187,                 0.9217,                0.52102,                 1.0207,             0.00030416,             0.00030416,             0.00030416
                     43,                0.79871,                0.45573,                0.96327,                0.93345,                0.87664,                0.93362,                0.72045,                0.92009,                 0.5063,                 1.0242,             0.00030141,             0.00030141,             0.00030141
                     44,                0.79856,                0.45626,                0.96574,                0.93762,                0.85988,                0.93067,                0.71783,                0.91835,                0.52616,                 1.0211,             0.00029866,             0.00029866,             0.00029866
                     45,                0.78496,                0.44702,                0.95896,                0.94193,                0.86627,                0.93026,                0.72323,                0.92484,                 0.5212,                 1.0287,              0.0002959,              0.0002959,              0.0002959
                     46,                0.78209,                0.44199,                0.95972,                0.94416,                0.88058,                 0.9385,                0.72681,                0.91971,                0.50488,                 1.0193,             0.00029315,             0.00029315,             0.00029315
                     47,                0.77978,                0.44301,                0.95329,                 0.9436,                0.86242,                0.93668,                0.72765,                0.91058,                0.49888,                 1.0186,              0.0002904,              0.0002904,              0.0002904
                     48,                0.77221,                0.43386,                 0.9521,                0.93573,                0.88711,                0.93854,                  0.727,                0.91178,                0.51621,                 1.0168,             0.00028765,             0.00028765,             0.00028765
                     49,                0.76642,                0.42564,                0.95142,                0.94493,                0.88299,                0.94417,                0.73124,                0.91352,                0.49917,                 1.0158,             0.00028489,             0.00028489,             0.00028489
                     50,                0.76385,                0.42516,                 0.9486,                0.92974,                0.89449,                0.94053,                0.73397,                0.90176,                0.49702,                 1.0142,             0.00028214,             0.00028214,             0.00028214
                     51,                0.76619,                0.42986,                0.95017,                0.93056,                0.88614,                0.93836,                0.73016,                0.91227,                0.49131,                 1.0202,             0.00027939,             0.00027939,             0.00027939
                     52,                0.75439,                0.42428,                 0.9474,                0.94079,                0.88403,                0.94033,                0.73232,                0.91179,                0.48961,                 1.0186,             0.00027664,             0.00027664,             0.00027664
                     53,                0.75161,                   0.42,                0.94929,                0.94437,                0.87725,                0.93969,                0.72867,                0.91437,                 0.4938,                  1.023,             0.00027389,             0.00027389,             0.00027389
                     54,                0.75048,                 0.4172,                0.94468,                 0.9315,                0.87464,                0.93289,                 0.7243,                0.91389,                0.50209,                 1.0151,             0.00027113,             0.00027113,             0.00027113
                     55,                0.74919,                0.41488,                0.94061,                0.94737,                 0.8762,                0.94164,                0.73581,                 0.9058,                0.48999,                 1.0163,             0.00026838,             0.00026838,             0.00026838
                     56,                0.74874,                0.41043,                 0.9402,                0.95001,                0.87013,                0.93907,                0.73138,                 0.9024,                0.48676,                 1.0147,             0.00026563,             0.00026563,             0.00026563
                     57,                0.74206,                0.41219,                0.94181,                0.92927,                0.87897,                0.93971,                0.72922,                0.90953,                0.49055,                 1.0181,             0.00026288,             0.00026288,             0.00026288
                     58,                0.73394,                 0.4048,                0.93937,                0.93884,                0.88262,                0.94072,                0.73373,                0.90003,                0.49527,                 1.0151,             0.00026012,             0.00026012,             0.00026012
                     59,                0.73537,                0.40629,                0.94015,                0.94598,                0.88075,                0.94251,                0.73311,                 0.9085,                0.49221,                 1.0174,             0.00025737,             0.00025737,             0.00025737
                     60,                0.72798,                0.40232,                0.93365,                0.95553,                0.87095,                0.94561,                0.73502,                 0.8987,                0.47354,                 1.0176,             0.00025462,             0.00025462,             0.00025462
                     61,                0.72848,                0.40269,                0.93641,                0.93482,                0.88698,                0.94044,                 0.7322,                0.90392,                0.47445,                 1.0159,             0.00025187,             0.00025187,             0.00025187
                     62,                 0.7159,                0.39331,                 0.9302,                0.94507,                0.88497,                0.94366,                0.73503,                0.90332,                0.48014,                 1.0164,             0.00024912,             0.00024912,             0.00024912
                     63,                0.72152,                0.40065,                0.93067,                0.95115,                 0.8844,                0.94069,                0.73347,                0.89217,                0.48121,                 1.0044,             0.00024636,             0.00024636,             0.00024636
                     64,                0.71192,                0.39634,                0.92727,                0.95116,                0.88448,                0.94471,                 0.7433,                0.89211,                 0.4776,                 1.0153,             0.00024361,             0.00024361,             0.00024361
                     65,                0.70821,                0.39054,                0.92883,                 0.9369,                0.90183,                0.94601,                0.73868,                0.90173,                0.46644,                 1.0191,             0.00024086,             0.00024086,             0.00024086
                     66,                0.71204,                0.39217,                0.92818,                0.95309,                0.87846,                0.94026,                0.72931,                0.90144,                 0.4776,                 1.0109,             0.00023811,             0.00023811,             0.00023811
                     67,                0.69999,                0.38823,                0.92209,                0.94792,                0.87667,                0.94115,                0.73782,                0.89487,                0.46357,                 1.0142,             0.00023535,             0.00023535,             0.00023535
                     68,                0.69874,                 0.3831,                0.92551,                0.94891,                0.87198,                0.94327,                0.73805,                0.89206,                0.46305,                 1.0165,              0.0002326,              0.0002326,              0.0002326
                     69,                0.69845,                0.38138,                0.92939,                0.94887,                0.88331,                0.94615,                 0.7398,                0.89617,                0.47381,                 1.0235,             0.00022985,             0.00022985,             0.00022985
                     70,                0.69131,                0.37862,                0.92169,                 0.9473,                0.88467,                0.94377,                0.73771,                0.88958,                0.48216,                 1.0177,              0.0002271,              0.0002271,              0.0002271
                     71,                0.69156,                0.37815,                0.92198,                0.95666,                0.88258,                 0.9422,                0.73441,                0.87719,                0.47234,                 1.0046,             0.00022435,             0.00022435,             0.00022435
